Target Distance: 10, Step Size: 2
0: (x,y) = (-1.32059,-1.50201)
1: (x,y) = (0.338065,-2.61954)
2: (x,y) = (-1.59644,-2.1119)
3: (x,y) = (0.210974,-2.96821)
4: (x,y) = (1.91741,-4.01131)
5: (x,y) = (0.637126,-5.54782)
6: (x,y) = (-0.130271,-7.39473)
7: (x,y) = (-0.368691,-5.409)
8: (x,y) = (-1.28058,-7.18902)
9: (x,y) = (-3.27776,-7.08291)
10: (x,y) = (-2.18235,-5.40956)
11: (x,y) = (-3.80037,-6.58515)
12: (x,y) = (-3.79152,-8.58513)
13: (x,y) = (-2.60883,-6.9723)
14: (x,y) = (-3.81993,-5.38069)
15: (x,y) = (-4.09347,-3.39948)
16: (x,y) = (-4.90969,-1.57361)
17: (x,y) = (-3.08745,-0.749322)
18: (x,y) = (-1.60314,0.591137)
19: (x,y) = (-3.56871,0.960641)
20: (x,y) = (-1.69891,0.250821)
21: (x,y) = (-2.30004,-1.6567)
22: (x,y) = (-1.0334,-0.108922)
23: (x,y) = (-2.82534,-0.997147)
24: (x,y) = (-2.20735,0.904981)
25: (x,y) = (-2.72356,-1.02725)
26: (x,y) = (-3.032,-3.00333)
27: (x,y) = (-2.77601,-4.98688)
28: (x,y) = (-1.59332,-3.37404)
29: (x,y) = (-0.634498,-1.61886)
30: (x,y) = (1.34548,-1.33656)
31: (x,y) = (-0.589023,-0.828914)
32: (x,y) = (-0.055737,1.09868)
33: (x,y) = (-2.03813,0.833913)
34: (x,y) = (-4.03782,0.869257)
35: (x,y) = (-4.60509,-1.04861)
36: (x,y) = (-6.58976,-0.801463)
37: (x,y) = (-8.55197,-1.18841)
38: (x,y) = (-10.5032,-0.749559)
After 39 steps, the subjecthas the following location:
(x,y) = (-10.5032,-0.749559)
 or
(m,a) = (10.5299,-3.07035)
Average outward distance per step = 0.269999

Target Distance: 100, Step Size: 5
0: (x,y) = (-0.683835,4.95302)
1: (x,y) = (-3.64068,8.98502)
2: (x,y) = (-5.05885,4.19035)
3: (x,y) = (-3.47171,-0.551056)
4: (x,y) = (-5.10076,4.17612)
5: (x,y) = (-0.116601,3.77838)
6: (x,y) = (-0.580482,-1.20006)
7: (x,y) = (0.837829,-5.99468)
8: (x,y) = (2.29838,-1.21275)
9: (x,y) = (-2.68576,-1.61065)
10: (x,y) = (-7.53302,-2.83705)
11: (x,y) = (-5.13596,1.5509)
12: (x,y) = (-0.716645,3.88962)
13: (x,y) = (-0.296848,8.87197)
14: (x,y) = (-0.804927,13.8461)
15: (x,y) = (-4.68826,10.6965)
16: (x,y) = (-6.60675,6.07924)
17: (x,y) = (-11.0052,3.70149)
18: (x,y) = (-10.6294,-1.28437)
19: (x,y) = (-11.2254,3.67998)
20: (x,y) = (-11.7774,-1.28947)
21: (x,y) = (-14.9781,-5.13074)
22: (x,y) = (-13.2241,-9.813)
23: (x,y) = (-12.0623,-4.94985)
24: (x,y) = (-16.0813,-1.9753)
25: (x,y) = (-16.4569,-6.96117)
26: (x,y) = (-20.2265,-3.67635)
27: (x,y) = (-15.3046,-4.55658)
28: (x,y) = (-20.3015,-4.37974)
29: (x,y) = (-19.6615,-9.33862)
30: (x,y) = (-14.6897,-8.80853)
31: (x,y) = (-19.0882,-11.1863)
32: (x,y) = (-24.0645,-11.6723)
33: (x,y) = (-26.1852,-16.2003)
34: (x,y) = (-24.1044,-20.7467)
35: (x,y) = (-21.0767,-16.7676)
36: (x,y) = (-22.4525,-21.5746)
37: (x,y) = (-18.0332,-19.2359)
38: (x,y) = (-22.0783,-22.1748)
39: (x,y) = (-18.6139,-18.5695)
40: (x,y) = (-13.7262,-19.6234)
41: (x,y) = (-14.5412,-14.6903)
42: (x,y) = (-9.5412,-14.6903)
43: (x,y) = (-11.5006,-10.0902)
44: (x,y) = (-6.51647,-10.488)
45: (x,y) = (-2.13924,-8.07139)
46: (x,y) = (-1.06372,-3.18844)
47: (x,y) = (-6.05882,-3.40965)
48: (x,y) = (-1.19058,-4.54991)
49: (x,y) = (2.01026,-8.39109)
50: (x,y) = (1.7229,-13.3828)
51: (x,y) = (0.220079,-18.1516)
52: (x,y) = (3.2125,-22.1573)
53: (x,y) = (4.79964,-26.8987)
54: (x,y) = (9.72155,-27.7789)
55: (x,y) = (4.84341,-26.6818)
56: (x,y) = (2.36892,-22.3371)
57: (x,y) = (-2.59802,-22.9111)
58: (x,y) = (2.07648,-24.6857)
59: (x,y) = (-2.8454,-25.5661)
60: (x,y) = (-3.44145,-20.6017)
61: (x,y) = (-5.95417,-24.9245)
62: (x,y) = (-1.06651,-25.9784)
63: (x,y) = (3.92644,-25.713)
64: (x,y) = (4.39048,-30.6914)
65: (x,y) = (-0.422554,-29.3369)
66: (x,y) = (-5.37855,-29.9988)
67: (x,y) = (-5.7985,-25.0164)
68: (x,y) = (-5.73226,-20.0169)
69: (x,y) = (-6.98011,-15.1751)
70: (x,y) = (-2.80899,-12.418)
71: (x,y) = (2.14702,-13.0797)
72: (x,y) = (2.43453,-18.0714)
